Murder,Year,Location,Theft,Kidnap
0.00632,2.31,0,0.538,65.2
0.02731,7.07,0,0.469,78.9
0.02729,7.07,0,0.469,61.1
0.03237,2.18,0,0.458,45.8
0.06905,2.18,0,0.458,54.2
0.02985,2.18,0,0.458,58.7
0.08829,7.87,0,0.524,66.6
0.14455,7.87,0,0.524,96.1
0.21124,7.87,0,0.524,100
0.17004,7.87,0,0.524,85.9
0.22489,7.87,0,0.524,94.3
0.11747,7.87,0,0.524,82.9
0.09378,7.87,0,0.524,39
0.62976,8.14,0,0.538,61.8
0.63796,8.14,0,0.538,84.5
0.62739,8.14,0,0.538,56.5
1.05393,8.14,0,0.538,29.3
0.7842,8.14,0,0.538,81.7
0.80271,8.14,0,0.538,36.6
0.7258,8.14,0,0.538,69.5
1.25179,8.14,0,0.538,98.1
0.85204,8.14,0,0.538,89.2
1.23247,8.14,0,0.538,91.7
0.98843,8.14,0,0.538,100
0.75026,8.14,0,0.538,94.1
0.84054,8.14,0,0.538,85.7
0.67191,8.14,0,0.538,90.3
0.95577,8.14,0,0.538,88.8
0.77299,8.14,0,0.538,94.4
1.00245,8.14,0,0.538,87.3
1.13081,8.14,0,0.538,94.1
1.35472,8.14,0,0.538,100
1.38799,8.14,0,0.538,82
1.15172,8.14,0,0.538,95
1.61282,8.14,0,0.538,96.9
0.06417,5.96,0,0.499,68.2
0.09744,5.96,0,0.499,61.4
0.08014,5.96,0,0.499,41.5
0.17505,5.96,0,0.499,30.2
0.02763,2.95,0,0.428,21.8
0.03359,2.95,0,0.428,15.8
0.12744,6.91,0,0.448,2.9
0.1415,6.91,0,0.448,6.6
0.15936,6.91,0,0.448,6.5
0.12269,6.91,0,0.448,40
0.17142,6.91,0,0.448,33.8
0.18836,6.91,0,0.448,33.3
0.22927,6.91,0,0.448,85.5
0.25387,6.91,0,0.448,95.3
0.21977,6.91,0,0.448,62
0.08873,5.64,0,0.439,45.7
0.04337,5.64,0,0.439,63
0.0536,5.64,0,0.439,21.1
0.04981,5.64,0,0.439,21.4
0.0136,4,0,0.41,47.6
0.01311,1.22,0,0.403,21.9
0.02055,0.74,0,0.41,35.7
0.01432,1.32,0,0.411,40.5
0.15445,5.13,0,0.453,29.2
0.10328,5.13,0,0.453,47.2
0.14932,5.13,0,0.453,66.2
0.17171,5.13,0,0.453,93.4
0.11027,5.13,0,0.453,67.8
0.1265,5.13,0,0.453,43.4
0.01951,1.38,0,0.4161,59.5
0.03584,3.37,0,0.398,17.8
0.04379,3.37,0,0.398,31.1
0.05789,6.07,0,0.409,21.4
0.13554,6.07,0,0.409,36.8
0.12816,6.07,0,0.409,33
0.08826,10.81,0,0.413,6.6
0.15876,10.81,0,0.413,17.5
0.09164,10.81,0,0.413,7.8
0.19539,10.81,0,0.413,6.2
0.07896,12.83,0,0.437,6
0.09512,12.83,0,0.437,45
0.10153,12.83,0,0.437,74.5
0.08707,12.83,0,0.437,45.8
0.05646,12.83,0,0.437,53.7
0.08387,12.83,0,0.437,36.6
0.04113,4.86,0,0.426,33.5
0.04462,4.86,0,0.426,70.4
0.03659,4.86,0,0.426,32.2
0.03551,4.86,0,0.426,46.7
0.05059,4.49,0,0.449,48
0.05735,4.49,0,0.449,56.1
0.05188,4.49,0,0.449,45.1
0.07151,4.49,0,0.449,56.8
0.0566,3.41,0,0.489,86.3
0.05302,3.41,0,0.489,63.1
0.04684,3.41,0,0.489,66.1
0.03932,3.41,0,0.489,73.9
0.04203,15.04,0,0.464,53.6
0.02875,15.04,0,0.464,28.9
0.04294,15.04,0,0.464,77.3
0.12204,2.89,0,0.445,57.8
0.11504,2.89,0,0.445,69.6
0.12083,2.89,0,0.445,76
0.08187,2.89,0,0.445,36.9
0.0686,2.89,0,0.445,62.5
0.14866,8.56,0,0.52,79.9
0.11432,8.56,0,0.52,71.3
0.22876,8.56,0,0.52,85.4
0.21161,8.56,0,0.52,87.4
0.1396,8.56,0,0.52,90
0.13262,8.56,0,0.52,96.7
0.1712,8.56,0,0.52,91.9
0.13117,8.56,0,0.52,85.2
0.12802,8.56,0,0.52,97.1
0.26363,8.56,0,0.52,91.2
0.10793,8.56,0,0.52,54.4
0.10084,10.01,0,0.547,81.6
0.12329,10.01,0,0.547,92.9
0.22212,10.01,0,0.547,95.4
0.14231,10.01,0,0.547,84.2
0.17134,10.01,0,0.547,88.2
0.13158,10.01,0,0.547,72.5
0.15098,10.01,0,0.547,82.6
0.13058,10.01,0,0.547,73.1
0.14476,10.01,0,0.547,65.2
0.06899,25.65,0,0.581,69.7
0.07165,25.65,0,0.581,84.1
0.09299,25.65,0,0.581,92.9
0.15038,25.65,0,0.581,97
0.09849,25.65,0,0.581,95.8
0.16902,25.65,0,0.581,88.4
0.38735,25.65,0,0.581,95.6
0.25915,21.89,0,0.624,96
0.32543,21.89,0,0.624,98.8
0.88125,21.89,0,0.624,94.7
0.34006,21.89,0,0.624,98.9
1.19294,21.89,0,0.624,97.7
0.59005,21.89,0,0.624,97.9
0.32982,21.89,0,0.624,95.4
0.97617,21.89,0,0.624,98.4
0.55778,21.89,0,0.624,98.2
0.32264,21.89,0,0.624,93.5
0.35233,21.89,0,0.624,98.4
0.2498,21.89,0,0.624,98.2
0.54452,21.89,0,0.624,97.9
0.2909,21.89,0,0.624,93.6
1.62864,21.89,0,0.624,100
3.32105,19.58,1,0.871,100
4.0974,19.58,0,0.871,100
2.77974,19.58,0,0.871,97.8
2.37934,19.58,0,0.871,100
2.15505,19.58,0,0.871,100
2.36862,19.58,0,0.871,95.7
2.33099,19.58,0,0.871,93.8
2.73397,19.58,0,0.871,94.9
1.6566,19.58,0,0.871,97.3
1.49632,19.58,0,0.871,100
1.12658,19.58,1,0.871,88
2.14918,19.58,0,0.871,98.5
1.41385,19.58,1,0.871,96
3.53501,19.58,1,0.871,82.6
2.44668,19.58,0,0.871,94
1.22358,19.58,0,0.605,97.4
1.34284,19.58,0,0.605,100
1.42502,19.58,0,0.871,100
1.27346,19.58,1,0.605,92.6
1.46336,19.58,0,0.605,90.8
1.83377,19.58,1,0.605,98.2
1.51902,19.58,1,0.605,93.9
2.24236,19.58,0,0.605,91.8
2.924,19.58,0,0.605,93
2.01019,19.58,0,0.605,96.2
1.80028,19.58,0,0.605,79.2
2.3004,19.58,0,0.605,96.1
2.44953,19.58,0,0.605,95.2
1.20742,19.58,0,0.605,94.6
2.3139,19.58,0,0.605,97.3
0.13914,4.05,0,0.51,88.5
0.09178,4.05,0,0.51,84.1
0.08447,4.05,0,0.51,68.7
0.06664,4.05,0,0.51,33.1
0.07022,4.05,0,0.51,47.2
0.05425,4.05,0,0.51,73.4
0.06642,4.05,0,0.51,74.4
0.0578,2.46,0,0.488,58.4
0.06588,2.46,0,0.488,83.3
0.06888,2.46,0,0.488,62.2
0.09103,2.46,0,0.488,92.2
0.10008,2.46,0,0.488,95.6
0.08308,2.46,0,0.488,89.8
0.06047,2.46,0,0.488,68.8
0.05602,2.46,0,0.488,53.6
0.07875,3.44,0,0.437,41.1
0.12579,3.44,0,0.437,29.1
0.0837,3.44,0,0.437,38.9
0.09068,3.44,0,0.437,21.5
0.06911,3.44,0,0.437,30.8
0.08664,3.44,0,0.437,26.3
0.02187,2.93,0,0.401,9.9
0.01439,2.93,0,0.401,18.8
0.01381,0.46,0,0.422,32
0.04011,1.52,0,0.404,34.1
0.04666,1.52,0,0.404,36.6
0.03768,1.52,0,0.404,38.3
0.0315,1.47,0,0.403,15.3
0.01778,1.47,0,0.403,13.9
0.03445,2.03,0,0.415,38.4
0.02177,2.03,0,0.415,15.7
0.0351,2.68,0,0.4161,33.2
0.02009,2.68,0,0.4161,31.9
0.13642,10.59,0,0.489,22.3
0.22969,10.59,0,0.489,52.5
0.25199,10.59,0,0.489,72.7
0.13587,10.59,1,0.489,59.1
0.43571,10.59,1,0.489,100
0.17446,10.59,1,0.489,92.1
0.37578,10.59,1,0.489,88.6
0.21719,10.59,1,0.489,53.8
0.14052,10.59,0,0.489,32.3
0.28955,10.59,0,0.489,9.8
0.19802,10.59,0,0.489,42.4
0.0456,13.89,1,0.55,56
0.07013,13.89,0,0.55,85.1
0.11069,13.89,1,0.55,93.8
0.11425,13.89,1,0.55,92.4
0.35809,6.2,1,0.507,88.5
0.40771,6.2,1,0.507,91.3
0.62356,6.2,1,0.507,77.7
0.6147,6.2,0,0.507,80.8
0.31533,6.2,0,0.504,78.3
0.52693,6.2,0,0.504,83
0.38214,6.2,0,0.504,86.5
0.41238,6.2,0,0.504,79.9
0.29819,6.2,0,0.504,17
0.44178,6.2,0,0.504,21.4
0.537,6.2,0,0.504,68.1
0.46296,6.2,0,0.504,76.9
0.57529,6.2,0,0.507,73.3
0.33147,6.2,0,0.507,70.4
0.44791,6.2,1,0.507,66.5
0.33045,6.2,0,0.507,61.5
0.52058,6.2,1,0.507,76.5
0.51183,6.2,0,0.507,71.6
0.08244,4.93,0,0.428,18.5
0.09252,4.93,0,0.428,42.2
0.11329,4.93,0,0.428,54.3
0.10612,4.93,0,0.428,65.1
0.1029,4.93,0,0.428,52.9
0.12757,4.93,0,0.428,7.8
0.20608,5.86,0,0.431,76.5
0.19133,5.86,0,0.431,70.2
0.33983,5.86,0,0.431,34.9
0.19657,5.86,0,0.431,79.2
0.16439,5.86,0,0.431,49.1
0.19073,5.86,0,0.431,17.5
0.1403,5.86,0,0.431,13
0.21409,5.86,0,0.431,8.9
0.08221,5.86,0,0.431,6.8
0.36894,5.86,0,0.431,8.4
0.04819,3.64,0,0.392,32
0.03548,3.64,0,0.392,19.1
0.01538,3.75,0,0.394,34.2
0.61154,3.97,0,0.647,86.9
0.66351,3.97,0,0.647,100
0.65665,3.97,0,0.647,100
0.54011,3.97,0,0.647,81.8
0.53412,3.97,0,0.647,89.4
0.52014,3.97,0,0.647,91.5
0.82526,3.97,0,0.647,94.5
0.55007,3.97,0,0.647,91.6
0.76162,3.97,0,0.647,62.8
0.7857,3.97,0,0.647,84.6
0.57834,3.97,0,0.575,67
0.5405,3.97,0,0.575,52.6
0.09065,6.96,1,0.464,61.5
0.29916,6.96,0,0.464,42.1
0.16211,6.96,0,0.464,16.3
0.1146,6.96,0,0.464,58.7
0.22188,6.96,1,0.464,51.8
0.05644,6.41,1,0.447,32.9
0.09604,6.41,0,0.447,42.8
0.10469,6.41,1,0.447,49
0.06127,6.41,1,0.447,27.6
0.07978,6.41,0,0.447,32.1
0.21038,3.33,0,0.4429,32.2
0.03578,3.33,0,0.4429,64.5
0.03705,3.33,0,0.4429,37.2
0.06129,3.33,1,0.4429,49.7
0.01501,1.21,1,0.401,24.8
0.00906,2.97,0,0.4,20.8
0.01096,2.25,0,0.389,31.9
0.01965,1.76,0,0.385,31.5
0.03871,5.32,0,0.405,31.3
0.0459,5.32,0,0.405,45.6
0.04297,5.32,0,0.405,22.9
0.03502,4.95,0,0.411,27.9
0.07886,4.95,0,0.411,27.7
0.03615,4.95,0,0.411,23.4
0.08265,13.92,0,0.437,18.4
0.08199,13.92,0,0.437,42.3
0.12932,13.92,0,0.437,31.1
0.05372,13.92,0,0.437,51
0.14103,13.92,0,0.437,58
0.06466,2.24,0,0.4,20.1
0.05561,2.24,0,0.4,10
0.04417,2.24,0,0.4,47.4
0.03537,6.09,0,0.433,40.4
0.09266,6.09,0,0.433,18.4
0.1,6.09,0,0.433,17.7
0.05515,2.18,0,0.472,41.1
0.05479,2.18,0,0.472,58.1
0.07503,2.18,0,0.472,71.9
0.04932,2.18,0,0.472,70.3
0.49298,9.9,0,0.544,82.5
0.3494,9.9,0,0.544,76.7
2.63548,9.9,0,0.544,37.8
0.79041,9.9,0,0.544,52.8
0.26169,9.9,0,0.544,90.4
0.26938,9.9,0,0.544,82.8
0.3692,9.9,0,0.544,87.3
0.25356,9.9,0,0.544,77.7
0.31827,9.9,0,0.544,83.2
0.24522,9.9,0,0.544,71.7
0.40202,9.9,0,0.544,67.2
0.47547,9.9,0,0.544,58.8
0.1676,7.38,0,0.493,52.3
0.18159,7.38,0,0.493,54.3
0.35114,7.38,0,0.493,49.9
0.28392,7.38,0,0.493,74.3
0.34109,7.38,0,0.493,40.1
0.19186,7.38,0,0.493,14.7
0.30347,7.38,0,0.493,28.9
0.24103,7.38,0,0.493,43.7
0.06617,3.24,0,0.46,25.8
0.06724,3.24,0,0.46,17.2
0.04544,3.24,0,0.46,32.2
0.05023,6.06,0,0.4379,28.4
0.03466,6.06,0,0.4379,23.3
0.05083,5.19,0,0.515,38.1
0.03738,5.19,0,0.515,38.5
0.03961,5.19,0,0.515,34.5
0.03427,5.19,0,0.515,46.3
0.03041,5.19,0,0.515,59.6
0.03306,5.19,0,0.515,37.3
0.05497,5.19,0,0.515,45.4
0.06151,5.19,0,0.515,58.5
0.01301,1.52,0,0.442,49.3
0.02498,1.89,0,0.518,59.7
0.02543,3.78,0,0.484,56.4
0.03049,3.78,0,0.484,28.1
0.03113,4.39,0,0.442,48.5
0.06162,4.39,0,0.442,52.3
0.0187,4.15,0,0.429,27.7
0.01501,2.01,0,0.435,29.7
0.02899,1.25,0,0.429,34.5
0.06211,1.25,0,0.429,44.4
0.0795,1.69,0,0.411,35.9
0.07244,1.69,0,0.411,18.5
0.01709,2.02,0,0.41,36.1
0.04301,1.91,0,0.413,21.9
0.10659,1.91,0,0.413,19.5
8.98296,18.1,1,0.77,97.4
3.8497,18.1,1,0.77,91
5.20177,18.1,1,0.77,83.4
4.26131,18.1,0,0.77,81.3
4.54192,18.1,0,0.77,88
3.83684,18.1,0,0.77,91.1
3.67822,18.1,0,0.77,96.2
4.22239,18.1,1,0.77,89
3.47428,18.1,1,0.718,82.9
4.55587,18.1,0,0.718,87.9
3.69695,18.1,0,0.718,91.4
13.5222,18.1,0,0.631,100
4.89822,18.1,0,0.631,100
5.66998,18.1,1,0.631,96.8
6.53876,18.1,1,0.631,97.5
9.2323,18.1,0,0.631,100
8.26725,18.1,1,0.668,89.6
11.1081,18.1,0,0.668,100
18.4982,18.1,0,0.668,100
19.6091,18.1,0,0.671,97.9
15.288,18.1,0,0.671,93.3
9.82349,18.1,0,0.671,98.8
23.6482,18.1,0,0.671,96.2
17.8667,18.1,0,0.671,100
88.9762,18.1,0,0.671,91.9
15.8744,18.1,0,0.671,99.1
9.18702,18.1,0,0.7,100
7.99248,18.1,0,0.7,100
20.0849,18.1,0,0.7,91.2
16.8118,18.1,0,0.7,98.1
24.3938,18.1,0,0.7,100
22.5971,18.1,0,0.7,89.5
14.3337,18.1,0,0.7,100
8.15174,18.1,0,0.7,98.9
6.96215,18.1,0,0.7,97
5.29305,18.1,0,0.7,82.5
11.5779,18.1,0,0.7,97
8.64476,18.1,0,0.693,92.6
13.3598,18.1,0,0.693,94.7
8.71675,18.1,0,0.693,98.8
5.87205,18.1,0,0.693,96
7.67202,18.1,0,0.693,98.9
38.3518,18.1,0,0.693,100
9.91655,18.1,0,0.693,77.8
25.0461,18.1,0,0.693,100
14.2362,18.1,0,0.693,100
9.59571,18.1,0,0.693,100
24.8017,18.1,0,0.693,96
41.5292,18.1,0,0.693,85.4
67.9208,18.1,0,0.693,100
20.7162,18.1,0,0.659,100
11.9511,18.1,0,0.659,100
7.40389,18.1,0,0.597,97.9
14.4383,18.1,0,0.597,100
51.1358,18.1,0,0.597,100
14.0507,18.1,0,0.597,100
18.811,18.1,0,0.597,100
28.6558,18.1,0,0.597,100
45.7461,18.1,0,0.693,100
18.0846,18.1,0,0.679,100
10.8342,18.1,0,0.679,90.8
25.9406,18.1,0,0.679,89.1
73.5341,18.1,0,0.679,100
11.8123,18.1,0,0.718,76.5
11.0874,18.1,0,0.718,100
7.02259,18.1,0,0.718,95.3
12.0482,18.1,0,0.614,87.6
7.05042,18.1,0,0.614,85.1
8.79212,18.1,0,0.584,70.6
15.8603,18.1,0,0.679,95.4
12.2472,18.1,0,0.584,59.7
37.6619,18.1,0,0.679,78.7
7.36711,18.1,0,0.679,78.1
9.33889,18.1,0,0.679,95.6
8.49213,18.1,0,0.584,86.1
10.0623,18.1,0,0.584,94.3
6.44405,18.1,0,0.584,74.8
5.58107,18.1,0,0.713,87.9
13.9134,18.1,0,0.713,95
11.1604,18.1,0,0.74,94.6
14.4208,18.1,0,0.74,93.3
15.1772,18.1,0,0.74,100
13.6781,18.1,0,0.74,87.9
9.39063,18.1,0,0.74,93.9
22.0511,18.1,0,0.74,92.4
9.72418,18.1,0,0.74,97.2
5.66637,18.1,0,0.74,100
9.96654,18.1,0,0.74,100
12.8023,18.1,0,0.74,96.6
10.6718,18.1,0,0.74,94.8
6.28807,18.1,0,0.74,96.4
9.92485,18.1,0,0.74,96.6
9.32909,18.1,0,0.713,98.7
7.52601,18.1,0,0.713,98.3
6.71772,18.1,0,0.713,92.6
5.44114,18.1,0,0.713,98.2
5.09017,18.1,0,0.713,91.8
8.24809,18.1,0,0.713,99.3
9.51363,18.1,0,0.713,94.1
4.75237,18.1,0,0.713,86.5
4.66883,18.1,0,0.713,87.9
8.20058,18.1,0,0.713,80.3
7.75223,18.1,0,0.713,83.7
6.80117,18.1,0,0.713,84.4
4.81213,18.1,0,0.713,90
3.69311,18.1,0,0.713,88.4
6.65492,18.1,0,0.713,83
5.82115,18.1,0,0.713,89.9
7.83932,18.1,0,0.655,65.4
3.1636,18.1,0,0.655,48.2
3.77498,18.1,0,0.655,84.7
4.42228,18.1,0,0.584,94.5
15.5757,18.1,0,0.58,71
13.0751,18.1,0,0.58,56.7
4.34879,18.1,0,0.58,84
4.03841,18.1,0,0.532,90.7
3.56868,18.1,0,0.58,75
4.64689,18.1,0,0.614,67.6
8.05579,18.1,0,0.584,95.4
6.39312,18.1,0,0.584,97.4
4.87141,18.1,0,0.614,93.6
15.0234,18.1,0,0.614,97.3
10.233,18.1,0,0.614,96.7
14.3337,18.1,0,0.614,88
5.82401,18.1,0,0.532,64.7
5.70818,18.1,0,0.532,74.9
5.73116,18.1,0,0.532,77
2.81838,18.1,0,0.532,40.3
2.37857,18.1,0,0.583,41.9
3.67367,18.1,0,0.583,51.9
5.69175,18.1,0,0.583,79.8
4.83567,18.1,0,0.583,53.2
0.15086,27.74,0,0.609,92.7
0.18337,27.74,0,0.609,98.3
0.20746,27.74,0,0.609,98
0.10574,27.74,0,0.609,98.8
0.11132,27.74,0,0.609,83.5
0.17331,9.69,0,0.585,54
0.27957,9.69,0,0.585,42.6
0.17899,9.69,0,0.585,28.8
0.2896,9.69,0,0.585,72.9
0.26838,9.69,0,0.585,70.6
0.23912,9.69,0,0.585,65.3
0.17783,9.69,0,0.585,73.5
0.177783,9.69,0,0.585,79.7
0.06263,11.93,0,0.573,69.1
0.04527,11.93,0,0.573,76.7
0.06076,11.93,0,0.573,91
0.10959,11.93,0,0.573,89.3
0.04741,11.93,0,0.573,80.8
0.98765,12.5,0,0.561,89
0.23456,12.5,0,0.561,76
0.44433,12.5,0,0.561,98
0.77763,12.7,0,0.561,34
0.65432,12.8,0,0.561,67
